Codigo do Termo;Termo
100104690;INSERTE ACETABULAR CONSTRITO TRIDENT - 690-00-22E - InserteConstrito Acetabular Trident 0 Deg 22mm
100104703;INSERTE ACETABULAR CONSTRITO TRIDENT - 690-10-28I - Inserte Constrito Acetabular Trident 10 Deg 28mm
100104711;INSERTE ACETABULAR CONSTRITO TRIDENT - 69-2852 - Inserte Constrito Trident All Poly 28mm/ 52mm
100104720;INSERTE ACETABULAR CONSTRITO TRIDENT - 69-2246 - Inserte Constrito Trident All Poly 22mm/ 46mm
100104738;INSERTE ACETABULAR CONSTRITO TRIDENT - 69-2850 - Inserte Constrito Trident AllPoly 28mm/ 50mm
100104746;INSERTE ACETABULAR CONSTRITO TRIDENT - 690-10-28H - Inserte Constrito AcetabularTrident 10 Deg 28mm
100104754;INSERTE ACETABULAR CONSTRITO TRIDENT - 69-3256 - Inserte Constrito TridentAll Poly 32mm/ 56mm
100104762;INSERTE ACETABULAR CONSTRITO TRIDENT - 690-00-32I - InserteConstrito Acetabular Trident 0 Deg 32mm
100104770;INSERTE ACETABULAR CONSTRITO TRIDENT - 690-00-32H - Inserte Constrito Acetabular Trident 0 Deg 32mm
100104894;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE
100104908;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202652 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 2 – espessura 12
100104916;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202624 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 4 – espessura 9
100104924;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202636 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 6 – espessura 10
100104932;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202655 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 5 – espessura 12
100104940;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202646 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 6 – espessura 11
100104959;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202503 Base Tibial UNI SCORE para inserto de rolamento fixo – cimentada – Tamanho 3
100104967;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202651 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 1 – espessura 12
100104975;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202642 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 2 – espessura 11
100104983;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202304 Componente Femoral Unicompartimental UNI SCORE Cimentado – Tamanho 4
100104991;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202501 Base Tibial UNI SCORE para inserto de rolamento fixo – cimentada – Tamanho 1
100105009;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202631 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 1 – espessura 10
100105017;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202637 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 7 – espessura 10
100105025;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202506 Base Tibial UNI SCORE para inserto de rolamento fixo – cimentada – Tamanho 6
100105033;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202656 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 6 – espessura 12
100105041;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202634 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 4 – espessura 10
100105050;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202653 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 3 – espessura 12
100105068;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202621 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 1 – espessura 9
100105076;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202633 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 3 – espessura 10
100105084;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202307 Componente Femoral Unicompartimental UNI SCORE Cimentado – Tamanho 7
100105092;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202657 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 7 – espessura 12
100105106;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202504 Base Tibial UNI SCORE para inserto de rolamento fixo – cimentada – Tamanho 4
100105114;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202305 Componente Femoral Unicompartimental UNI SCORE Cimentado – Tamanho 5
100105122;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202645 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 5 – espessura 11
100105130;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202623 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 3 – espessura 9
100105149;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202643 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 3 – espessura 11
100105157;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202641 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 1 – espessura 11
100105165;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202306 Componente Femoral Unicompartimental UNI SCORE Cimentado – Tamanho 6
100105173;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202644 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 4 – espessura 11
100105181;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202622 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 2 – espessura 9
100105190;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202654 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 4 – espessura 12
100105203;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202303 Componente Femoral Unicompartimental UNI SCORE Cimentado – Tamanho 3
100105211;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202635 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 5 – espessura 10
100105220;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202626 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 6 – espessura 9
100105238;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202502 Base Tibial UNI SCORE para inserto de rolamento fixo – cimentada – Tamanho 2
100105246;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202302 Componente Femoral Unicompartimental UNI SCORE Cimentado – Tamanho 2
100105254;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202625 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 5 – espessura 9
100105262;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202627 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 7 – espessura 9
100105270;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202647 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 7 – espessura 11
100105289;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202505 Base Tibial UNI SCORE para inserto de rolamento fixo – cimentada – Tamanho 5
100105297;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202632 Inserto de rolamento fixo UNI SCORE ‐ Tamanho 2 – espessura 10
100105300;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202507 Base Tibial UNI SCORE para inserto de rolamento fixo – cimentada – Tamanho 7
100105319;JOELHO UNICOMPARTIMENTAL BASE FIXA CIMENTADO – UNI SCORE - 1‐0202301 Componente Femoral Unicompartimental UNI SCORE Cimentado – Tamanho 1
100196705;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir
100196713;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN300R44C
100196721;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN275R38C
100196730;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN400R08C
100196748;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN400R33C
100196756;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN400R24C
100196764;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN300R20C
100196772;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN250R08C
100196780;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN250R33C
100196799;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN250R15C
100196802;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN275R24C
100196810;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN275R12C
100196829;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN300R24C
100196837;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN350R28C
100196845;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN400R20C
100196853;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN275R08C
100196861;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN275R20C
100196870;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN400R44C
100196888;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN350R12C
100196896;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN350R33C
100196900;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN275R28C
100196918;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN400R12C
100196926;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN400R38C
100196934;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN250R17C
100196942;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN250R24C
100196950;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN350R24C
100196969;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN400R17C
100196977;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN250R28C
100196985;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN350R17C
100196993;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN350R15C
100197000;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN300R15C
100197019;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN350R44C
100197027;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN300R12C
100197035;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN250R20C
100197043;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN350R38C
100197051;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN300R33C
100197060;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN300R28C
100197078;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN300R08C
100197086;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN300R17C
100197094;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN300R38C
100197108;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN350R20C
100197116;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN400R15C
100197124;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN275R17C
100197132;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN350R08C
100197140;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN275R33C
100197159;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN275R44C
100197167;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN400R28C
100197175;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN275R15C
100197183;Stent Elunir Coronário de troca rápida com eluição de riderforolimus Elunir - LUN250R12C
100297390;PRÓTESE DE QUADRIL UNION ALTO NITROGENIO ORTOSINTESE
100297404;PRÓTESE DE QUADRIL UNION ALTO NITROGENIO ORTOSINTESE - 1171/03 - Haste Femoral Union Tamanho 11 Cem (12-14)
100297412;PRÓTESE DE QUADRIL UNION ALTO NITROGENIO ORTOSINTESE - 1171/06 - Haste Femoral Union Tamanho 14 Cem (12-14)
100297420;PRÓTESE DE QUADRIL UNION ALTO NITROGENIO ORTOSINTESE - 1171/04 - Haste Femoral Union Tamanho 12 Cem (12-14)
100297439;PRÓTESE DE QUADRIL UNION ALTO NITROGENIO ORTOSINTESE - 1171/08 - Haste Femoral Union Tamanho 16 Cem (12-14)
100297447;PRÓTESE DE QUADRIL UNION ALTO NITROGENIO ORTOSINTESE - 1171/05 - Haste Femoral Union Tamanho 13 Cem (12-14)
100297455;PRÓTESE DE QUADRIL UNION ALTO NITROGENIO ORTOSINTESE - 1171/07 - Haste Femoral Union Tamanho 15 Cem (12-14)
100297463;PRÓTESE DE QUADRIL UNION ALTO NITROGENIO ORTOSINTESE - 1171/02 - Haste Femoral Union Tamanho 10 Cem (12-14)
100297471;PRÓTESE DE QUADRIL UNION ALTO NITROGENIO ORTOSINTESE - 1171/01 - Haste Femoral Union Tamanho 09 Cem (12-14)
100297480;PRÓTESE DE QUADRIL UNION ALTO NITROGENIO ORTOSINTESE - 1171/09 - Haste Femoral Union Tamanho 18 Cem (12-14)
100300570;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR
100300588;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 422100003 COMPONENTE TIBIAL TAM 3
100300596;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100818 INSERTO TIBIAL CR TAM 8/18
100300600;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 421100105 COMPONENTE FEMORAL CR, TAM E ESQ
100300618;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 424000026 PATELA TAM 26 MM
100300626;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 422100008 COMPONENTE TIBIAL TAM 8
100300634;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100710 INSERTO TIBIAL CR TAM 7/10
100300642;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 424000030 PATELA TAM 30 MM
100300650;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100610 INSERTO TIBIAL CR TAM 6/10
100300669;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100314 INSERTO TIBIAL CR TAM 3/14
100300677;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100310 INSERTO TIBIAL CR TAM 3/10
100300685;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100812 INSERTO TIBIAL CR TAM 8/12
100300693;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100512 INSERTO TIBIAL CR TAM 5/12
100300707;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100422 INSERTO TIBIAL CR TAM 4/22
100300715;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100410 INSERTO TIBIAL CR TAM 4/10
100300723;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100312 INSERTO TIBIAL CR TAM 3/12
100300731;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100522 INSERTO TIBIAL CR TAM 5/22
100300740;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 422100005 COMPONENTE TIBIAL TAM 5
100300758;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 424000034 PATELA TAM 34 MM
100300766;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100714 INSERTO TIBIAL CR TAM 7/14
100300774;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100618 INSERTO TIBIAL CR TAM 6/18
100300782;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100418 INSERTO TIBIAL CR TAM 4/18
100300790;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 424000038 PATELA TAM 38 MM
100300804;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100712 INSERTO TIBIAL CR TAM 7/12
100300812;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 421100204 COMPONENTE FEMORAL CR, TAM D DIR
100300820;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100810 INSERTO TIBIAL CR TAM 8/10
100300839;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 421100106 COMPONENTE FEMORAL CR, TAM F ESQ
100300847;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100722 INSERTO TIBIAL CR TAM 7/22
100300855;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100412 INSERTO TIBIAL CR TAM 4/12
100300863;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 421100205 COMPONENTE FEMORAL CR, TAM E DIR
100300871;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100622 INSERTO TIBIAL CR TAM 6/22
100300880;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 421100203 COMPONENTE FEMORAL CR, TAM C DIR
100300898;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100510 INSERTO TIBIAL CR TAM 5/10
100300901;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 421100103 COMPONENTE FEMORAL CR, TAM C ESQ
100300910;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100614 INSERTO TIBIAL CR TAM 6/14
100300928;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 421100107 COMPONENTE FEMORAL CR, TAM G ESQ
100300936;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100318 INSERTO TIBIAL CR TAM 3/18
100300944;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100612 INSERTO TIBIAL CR TAM 6/12
100300952;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100822 INSERTO TIBIAL CR TAM 8/22
100300960;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100814 INSERTO TIBIAL CR TAM 8/14
100300979;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 422100004 COMPONENTE TIBIAL TAM 4
100300987;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100322 INSERTO TIBIAL CR TAM 3/22
100300995;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100514 INSERTO TIBIAL CR TAM 5/14
100301002;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 422100006 COMPONENTE TIBIAL TAM 6
100301010;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100718 INSERTO TIBIAL CR TAM 7/18
100301029;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100518 INSERTO TIBIAL CR TAM 5/18
100301037;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 421100207 COMPONENTE FEMORAL CR, TAM G DIR
100301045;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 424000042 PATELA TAM 42 MM
100301053;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 422100007 COMPONENTE TIBIAL TAM 7
100301061;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 421100206 COMPONENTE FEMORAL CR, TAM F DIR
100301070;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 421100104 COMPONENTE FEMORAL CR, TAM D ESQ
100301088;SISTEMA PARA ARTROPLASTIA DE JOELHO SANAT SWING CR - 423100414 INSERTO TIBIAL CR TAM 4/14
100397476;Sistema de Joelho Parcial PERSONA
100397484;Sistema de Joelho Parcial PERSONA - 42-5380-007-02: Persona Componente Tibial de Joelho Parcial, Medial Direito, Tamanho G
100397492;Sistema de Joelho Parcial PERSONA - 42-5580-001-02: Persona Componente Femoral de Joelho Parcial Cimentado, Medial Direito, Tamanho 1
100397506;Sistema de Joelho Parcial PERSONA - 42-5282-008-12: Persona Superfície Articular de Joelho Parcial VE, Medial Direito, Tamanho H, 12 mm
100397514;Sistema de Joelho Parcial PERSONA - 42-5282-005-09: Persona Superfície Articular de Joelho Parcial VE, Medial Direito, Tamanho E, 9 mm
100397522;Sistema de Joelho Parcial PERSONA - 42-5282-008-14: Persona Superfície Articular de Joelho Parcial VE, Medial Direito, Tamanho H, 14 mm
100397530;Sistema de Joelho Parcial PERSONA - 42-5282-009-11: Persona Superfície Articular de Joelho Parcial VE, Medial Direito, Tamanho J, 11 mm
100397549;Sistema de Joelho Parcial PERSONA - 42-5182-007-09: Persona Superfície Articular de Joelho Parcial VE, Medial Esquerdo, Tamanho G, 9 mm
100397557;Sistema de Joelho Parcial PERSONA - 42-5282-003-10: Persona Superfície Articular de Joelho Parcial VE, Medial Direito, Tamanho C, 10 mm
100397565;Sistema de Joelho Parcial PERSONA - 42-5282-006-09: Persona Superfície Articular de Joelho Parcial VE, Medial Direito, Tamanho F, 9 mm
100397573;Sistema de Joelho Parcial PERSONA - 42-5182-008-11: Persona Superfície Articular de JoelhoParcial VE, Medial Esquerdo, Tamanho H, 11 mm
100397581;Sistema de Joelho Parcial PERSONA - 42-5580-006-02: Persona Componente Femoral de Joelho Parcial Cimentado, Medial Direito, Tamanho 6
100397590;Sistema de Joelho Parcial PERSONA - 42-5380-003-02: Persona Componente Tibial de Joelho Parcial, Medial Direito, Tamanho C
100397603;Sistema de Joelho Parcial PERSONA - 42-5282-005-14: Persona Superfície Articular de Joelho Parcial VE, Medial Direito, Tamanho E, 14 mm
100397611;Sistema de Joelho Parcial PERSONA - 42-5580-005-02: Persona Componente Femoral de Joelho Parcial Cimentado, Medial Direito, Tamanho 5
100397620;Sistema de Joelho Parcial PERSONA - 42-5182-006-08: Persona Superfície Articular de Joelho Parcial VE, Medial Esquerdo, Tamanho F, 8 mm
100397638;Sistema de Joelho Parcial PERSONA - 42-5282-006-08: Persona Superfície Articular de Joelho Parcial VE, Medial Direito, Tamanho F, 8 mm
100397646;Sistema de Joelho Parcial PERSONA - 42-5580-001-01: Persona Componente Femoral de Joelho Parcial Cimentado, Medial Esquerdo, Tamanho 1
100397654;Sistema de Joelho Parcial PERSONA - 42-5182-005-08: Persona Superfície Articular de Joelho Parcial VE, Medial Esquerdo, Tamanho E, 8 mm
100397662;Sistema de Joelho Parcial PERSONA - 42-5182-006-09: Persona Superfície Articular de Joelho Parcial VE, Medial Esquerdo, Tamanho F, 9 mm
100397670;Sistema de Joelho Parcial PERSONA - 42-5182-006-14: Persona Superfície Articular de Joelho Parcial VE, Medial Esquerdo, Tamanho F, 14 mm
100397689;Sistema de Joelho Parcial PERSONA - 42-5182-007-11: Persona Superfície Articular de Joelho Parcial VE, Medial Esquerdo, Tamanho G, 11mm
100397697;Sistema de Joelho Parcial PERSONA - 42-5182-005-12: Persona Superfície Articular de Joelho Parcial VE, Medial Esquerdo, Tamanho E, 12mm
