Código do Termo;Termo;Data de início de vigência;Data de fim de vigência;Data de fim de implantação
20101198;Teste e adaptação de lente de contato (sessão) - binocular;2009-02-13;;2010-10-15
20101201;Avaliação clínica e eletrônica de paciente portador de marca-passo ou sincronizador ou desfibrilador;2009-02-13;2021-03-31;2010-10-15
20101201;Avaliação clínica e eletrônica de paciente portador de dispositivo cardíaco eletrônico implantável (marca-passo, estimulador multissítio/ressincronizador, desfibrilador ou monitor de eventos);2021-04-01;;2010-10-15
20101210;Acompanhamento clínico ambulatorial pós-transplante de córnea -por avaliação do 11º ao 30º dia até 3 avaliações;2010-09-09;;2010-10-15
20101228;Acompanhamento clínico ambulatorial pós-transplante de medula óssea;2010-09-09;;2010-10-15
20101236;Avaliação geriátrica ampla - AGA;2016-01-01;;2016-03-31
20101244;Avaliação e seleção para implante coclear unilateral;2021-08-01;;2021-10-31
20101252;Ativação do implante coclear unilateral;2021-08-01;;2021-10-31
20101260;Mapeamento e balanceamento dos eletrodos do implante coclear unilateral;2021-08-01;;2021-10-31
20101279;Potencial evocado eletricamente no sistema auditivo central;2021-08-01;;2021-10-31
20101287;Reflexo estapediano eliciado eletricamente unilateral;2021-08-01;;2021-10-31
20101295;Troca do processador de áudio do implante coclear unilateral;2021-08-01;;2021-10-31
20101309;Avaliação clínica pré coleta de líquor no teste de punção lombar única ou repetida – TAP test;2021-08-01;;2021-10-31
20101317;Avaliação clínica pós coleta de líquor no teste de punção lombar única ou repetida – TAP test;2021-08-01;;2021-10-31
20101325;Avaliação e diagnóstico de morte encefálica - exame clínico que confirme coma não perceptivo e ausência de função tronco encefálico;2021-08-01;;2021-10-31
20101333;Avaliação e diagnóstico de morte encefálica - teste de apneia que confirme ausência de movimentos respiratórios após estimulação máxima dos centros respiratórios;2021-08-01;;2021-10-31
20101341;Avaliação neurológica ampla - ANA;2021-08-01;;2021-10-31
20101350;Programação de dispositivos neurofuncionais;2021-08-01;;2021-10-31
20101368;Teste de provocação oral (TPO) com alimentos;2021-08-01;;2021-10-31
20101376;Teste cutâneo de puntura ou intradérmico com medicamentos (até 3 drogas);2021-08-01;;2021-10-31
20101384;Teste de provocação com medicamentos via oral;2021-08-01;;2021-10-31
20101392;Teste de provocação com medicamentos via injetável;2021-08-01;;2021-10-31
20101406;Acompanhamento clínico ambulatorial pós-cirurgia fistulizante antoglaucomatosa - por avaliação do 11º ao 30º dia, até três avaliações;2021-08-01;;2021-10-31
20101414;Acompanhamento clínico ambulatorial do tabagista, por avaliação, do 1º ao 90º dia, até 7 avaliações clínicas;2021-08-01;;2021-10-31
20101422;Monoximetria não invasiva (Coex);2021-08-01;;2021-10-31
20101430;Acompanhamento clínico ambulatorial do pós-operatório de cirurgia de catarata congênita ou glaucoma congênito, por avaliação do 11º ao 30º dias, até 3 avaliações, em consultório;2021-08-01;;2021-10-31
20101449;Acompanhamento clínico ambulatorial da retinopatia da prematuridade por avaliação do 1º ao 30º dia, até 5 avaliações, em consultório;2021-08-01;;2021-10-31
20101457;Acompanhamento clínico ambulatorial de uveítes anteriores agudas e/ou coriorrenites focais ou disseminadas em atividade por avaliação do 1º ao 30º dia, até a5 avaliações, em consultório;2021-08-01;;2021-10-31
20102011;Holter de 24 horas - 2 ou mais canais - analógico;2009-02-13;;2010-10-15
20102020;Holter de 24 horas - 3 canais - digital;2009-02-13;;2010-10-15
20102038;Monitorização ambulatorial da pressão arterial - MAPA (24 horas);2009-02-13;;2010-10-15
20102062;Monitor de eventos sintomáticos por 15 a 30 dias (LOOPER);2009-02-13;;2010-10-15
20102070;Tilt teste;2009-02-13;;2010-10-15
20102089;Sistema Holter - 12 horas - 1 canal;2009-02-13;;2010-10-15
20102097;Sistema Holter - 12 horas - 2 ou mais canais;2009-02-13;;2010-10-15
20102100;Sistema Holter - 24 horas - 1 canal;2009-02-13;;2010-10-15
20102111;Monitorização eletrocardiográfica programada com transcrição - não contínua;2009-02-13;2016-01-14;2010-10-15
20102119;Monitorização eletrocardiográfica programada com transcrição - não contínua;2016-01-15;;2016-04-15
20102127;Holter 7 dias;2012-10-10;;2014-08-31
20102135;Holter cerebral;2012-10-10;;2014-08-31
20102143;Tilt teste com provas farmacológicas;2012-10-10;;2014-08-31
20102151;Gestão de pacientes com apneia obstrutiva do sono elegíveis para tratamento com pressão positiva contínua em via aérea;2021-08-01;;2021-10-31
20102160;Monitorização ambulatorial da pressão arterial de 5 dias - MAPA 5d;2021-08-01;;2021-10-31
20102178;Monitorização contínua da insuficiência respiratória em pacientes com esclerose lateral amniotrófica (ELA) que necessitam de assitência ventilatória não-invasiva;2021-08-01;;2021-10-31
20103018;Adaptação e treinamento de recursos ópticos para visão subnormal (por sessão) - binocular;2009-02-13;;2010-10-15
20103026;Amputação bilateral (preparação do coto);2009-02-13;;2010-10-15
20103034;Amputação bilateral (treinamento protético);2009-02-13;;2010-10-15
20103042;Amputação unilateral (preparação do coto);2009-02-13;;2010-10-15
20103050;Amputação unilateral (treinamento protético);2009-02-13;;2010-10-15
20103069;Assistência fisiátrica respiratória em pré e pós-operatório de condições cirúrgicas;2009-02-13;;2010-10-15
20103077;Ataxias;2009-02-13;;2010-10-15
20103093;Atendimento fisiátrico no pré e pós-operatório de pacientes para prevenção de sequelas;2009-02-13;;2010-10-15
20103107;Atendimento fisiátrico no pré e pós-parto;2009-02-13;;2010-10-15
20103115;Atividade reflexa ou aplicação de técnica cinesioterápica específica;2009-02-13;;2010-10-15
20103123;Atividades em escola de postura (máximo de 10 pessoas) - por sessão;2009-02-13;;2010-10-15
20103131;Biofeedback com EMG;2009-02-13;;2010-10-15
20103140;Bloqueio fenólico, alcoólico ou com toxina botulínica por segmento corporal;2009-02-13;;2010-10-15
20103158;Confecção de órteses em material termo-sensível (por unidade);2009-02-13;;2010-10-15
20103166;Confecção de prótese imediata;2009-02-13;;2010-10-15
20103174;Confecção de prótese provisória;2009-02-13;;2010-10-15
20103182;Desvios posturais da coluna vertebral;2009-02-13;;2010-10-15
20103190;Disfunção vésico-uretral;2009-02-13;;2010-10-15
20103204;Distrofia simpático-reflexa;2009-02-13;;2010-10-15
20103212;Distúrbios circulatórios artério-venosos e linfáticos;2009-02-13;;2010-10-15
20103220;Doenças pulmonares atendidas em ambulatório;2009-02-13;;2010-10-15
20103239;Exercícios de ortóptica (por sessão);2009-02-13;;2010-10-15
20103247;Exercícios para reabilitação do asmático (ERAC) - por sessão coletiva;2009-02-13;;2010-10-15
20103255;Exercícios para reabilitação do asmático (ERAI) - por sessão individual;2009-02-13;;2010-10-15
20103263;Hemiparesia;2009-02-13;;2010-10-15
20103271;Hemiplegia;2009-02-13;;2010-10-15
20103280;Hemiplegia e hemiparesia com afasia;2009-02-13;;2010-10-15
20103298;Hipo ou agenesia de membros;2009-02-13;;2010-10-15
20103301;Infiltração de ponto gatilho (por músculo) ou agulhamento seco (por músculo);2009-02-13;;2010-10-15
20103310;Lesão nervosa periférica afetando mais de um nervo com alterações sensitivas e/ou motoras;2009-02-13;;2010-10-15
20103328;Lesão nervosa periférica afetando um nervo com alterações sensitivas e/ou motoras;2009-02-13;;2010-10-15
20103336;Manipulação vertebral;2009-02-13;;2010-10-15
20103344;Miopatias;2009-02-13;;2010-10-15
20103360;Paciente com D.P.O.C. em atendimento ambulatorial necessitando reeducação e reabilitação respiratória;2009-02-13;;2010-10-15
20103379;Paciente em pós-operatório de cirurgia cardíaca, atendido em ambulatório, duas a três vezes por semana;2009-02-13;;2010-10-15
20103387;Pacientes com doença isquêmica do coração, atendido em ambulatório de 8 a 24 semanas;2009-02-13;;2010-10-15
20103395;Pacientes com doença isquêmica do coração, atendido em ambulatório, até 8 semanas de programa;2009-02-13;;2010-10-15
20103409;Pacientes com doenças neuro-músculo-esqueléticas com envolvimento tegumentar;2009-02-13;;2010-10-15
20103417;Pacientes sem doença coronariana clinicamente manifesta, mas considerada de alto  risco,  atendido  em ambulatório, duas a três vezes por semana;2009-02-13;;2010-10-15
20103425;Paralisia cerebral;2009-02-13;;2010-10-15
20103433;Paralisia cerebral com distúrbio de comunicação;2009-02-13;;2010-10-15
20103441;Paraparesia/tetraparesia;2009-02-13;;2010-10-15
20103450;Paraplegia e tetraplegia;2009-02-13;;2010-10-15
20103468;Parkinson;2009-02-13;;2010-10-15
20103476;Patologia neurológica com dependência de atividades da vida diária;2009-02-13;;2010-10-15
20103484;Patologia osteomioarticular em um membro;2009-02-13;;2010-10-15
20103492;Patologia osteomioarticular em dois ou mais membros;2009-02-13;;2010-10-15
20103506;Patologia osteomioarticular em um segmento da coluna;2009-02-13;;2010-10-15
20103514;Patologia osteomioarticular em diferentes segmentos da coluna;2009-02-13;;2010-10-15
20103522;Patologias osteomioarticulares com dependência de atividades da vida diária;2009-02-13;;2010-10-15
20103530;Recuperação funcional pós-operatória ou por imobilização da patologia vertebral;2009-02-13;;2010-10-15
20103549;Procedimentos mesoterápicos (por região anatômica);2009-02-13;;2010-10-15
20103557;Procedimentos mesoterápicos com calcitonina (qualquer segmento);2009-02-13;;2010-10-15
20103565;Processos inflamatórios pélvicos;2009-02-13;;2010-10-15
20103573;Programa de exercício supervisionado com obtenção de eletrocardiograma e/ou saturação de O2 - sessão individual;2009-02-13;;2010-10-15
20103581;Programa de exercício supervisionado com obtenção de eletrocardiograma e/ou saturação de O2 - sessão coletiva;2009-02-13;;2010-10-15
20103590;Programa de exercício supervisionado sem obtenção de eletrocardiograma e/ou saturação de O2 - sessão individual;2009-02-13;;2010-10-15
20103603;Programa de exercício supervisionado sem obtenção de eletrocardiograma e/ou saturação de O2 - sessão coletiva;2009-02-13;;2010-10-15
20103611;Queimados - seguimento ambulatorial para prevenção de sequelas (por segmento);2009-02-13;;2010-10-15
20103620;Reabilitação de paciente com endoprótese;2009-02-13;;2010-10-15
20103638;Reabilitação labiríntica (por sessão);2009-02-13;;2010-10-15
20103646;Reabilitação perineal com biofeedback;2009-02-13;;2010-10-15
20103654;Recuperação funcional de distúrbios crânio-faciais;2009-02-13;;2010-10-15
20103662;Recuperação funcional pós-operatória ou pós-imobilização gessada de  patologia  osteomioarticular  com complicações neurovasculares afetando um membro;2009-02-13;;2010-10-15
20103670;Recuperação funcional pós-operatória ou pós-imobilização gessada de  patologia  osteomioarticular  com complicações neurovasculares afetando mais de um membro;2009-02-13;;2010-10-15
20103689;Retardo do desenvolvimento psicomotor;2009-02-13;;2010-10-15
20103697;Sequelas de traumatismos torácicos e abdominais;2009-02-13;;2010-10-15
20103700;Sequelas em politraumatizados (em diferentes segmentos);2009-02-13;;2010-10-15
20103719;Sinusites;2009-02-13;;2010-10-15
20103727;Reabilitação  cardíaca supervisionada. Programa de 12 semanas. Duas a três sessões por semana (por sessão);2009-02-13;;2010-10-15
20103743;Exercícios de pleóptica;2009-02-13;;2010-10-15
20103751;Leme, análise de marcha;2012-10-10;;2014-08-31
20104014;Actinoterapia (por sessão);2009-02-13;;2010-10-15
20104022;Aplicação de hipossensibilizante - em consultório (AHC) exclusive o alérgeno - planejamento técnico para;2009-02-13;;2010-10-15
20104049;Cateterismo vesical em retenção urinária;2009-02-13;;2010-10-15
20104057;Cauterização química vesical;2009-02-13;;2010-10-15
20104065;Cerumen - remoção (bilateral);2009-02-13;;2010-10-15
20104073;Crioterapia (grupo de até 5 lesões);2009-02-13;;2010-10-15
20104081;Curativos em geral com anestesia, exceto queimados;2009-02-13;;2010-10-15
20104090;Curativo de extremidades de origem vascular;2009-02-13;;2010-10-15
20104103;Curativos em geral sem anestesia, exceto queimados;2009-02-13;;2010-10-15
20104111;Dilatação uretral (sessão);2009-02-13;;2010-10-15
20104120;Fototerapia com UVA (PUVA) (por sessão);2009-02-13;;2010-10-15
20104138;Imunoterapia específica - 30 dias - planejamento técnico;2009-02-13;;2010-10-15
20104146;Imunoterapia inespecífica - 30 dias - planejamento técnico;2009-02-13;;2010-10-15
20104154;Instilação vesical ou uretral;2009-02-13;;2010-10-15
20104170;Sessão de eletroconvulsoterapia (em sala com oxímetro de pulso, monitor de ECG, EEG), sob anestesia;2009-02-13;;2010-10-15
20104189;Sessão de oxigenoterapia hiperbárica (por sessão de 2 horas);2009-02-13;;2010-10-15
20104197;Sessão de psicoterapia de casal;2009-02-13;;2010-10-15
20104200;Sessão de psicoterapia de grupo (por paciente);2009-02-13;;2010-10-15
20104219;Sessão de psicoterapia individual;2009-02-13;;2010-10-15
20104227;Sessão de psicoterapia infantil;2009-02-13;;2010-10-15
20104235;Terapia inalatória - por nebulização;2009-02-13;;2010-10-15
20104243;Terapia oncológica com altas doses - planejamento e 1º dia de tratamento;2009-02-13;;2010-10-15
20104251;Terapia oncológica com altas doses - por dia subsequente de tratamento;2009-02-13;;2010-10-15
20104260;Terapia oncológica com aplicação de medicamentos por via intracavitária ou intratecal  - por procedimento;2009-02-13;;2010-10-15
20104278;Terapia oncológica com aplicação intra-arterial ou intravenosa de medicamentos em infusão de duração mínima de 6 horas - planejamento e 1º dia de tratamento;2009-02-13;;2010-10-15
20104286;Terapia oncológica com aplicação intra-arterial ou intravenosa de medicamentos em infusão de duração mínima de 6 horas - por dia subsequente de tratamento;2009-02-13;;2010-10-15
20104294;Terapia oncológica - planejamento e 1º dia de tratamento;2009-02-13;;2010-10-15
20104308;Terapia oncológica - por dia subsequente de tratamento;2009-02-13;;2010-10-15
20104316;Curativo de ouvido (cada);2009-02-13;;2010-10-15
20104324;Curativo oftalmológico;2009-02-13;;2010-10-15
20104332;Bota de Unna - confecção;2009-02-13;;2010-10-15
20104340;Cateterismo de canais ejaculadores;2009-02-13;;2010-10-15
20104359;Massagem prostática;2009-02-13;;2010-10-15
20104367;Pneumoperitônio (por sessão);2009-02-13;;2010-10-15
20104375;Pneumotórax artificial;2009-02-13;;2010-10-15
20104383;Pulsoterapia intravenosa (por sessão) - ambulatorial;2010-09-09;;2010-10-15
20104391;Terapia imunobiológica intravenosa (por sessão) - ambulatorial;2012-10-10;;2014-08-31
20104405;Terapia fotodinâmica;2012-10-10;;2014-08-31
20104413;Estimulação magnética transcraniana superficial (repetida) - EMT;2014-05-26;;2014-08-31
20104421;Terapia imunobiológica subcutânea (por sessão) ambulatorial;2013-12-01;;2014-08-31
20104430;Terapia antineoplásica oral para tratamento do câncer;2013-12-01;;2014-08-31
20104448;Terapia de pressão negativa - ambulatorial;2021-04-01;;2021-06-30
20104456;Tratamento preventivo da migrânea crônica;2021-08-01;;2021-10-31
20104464;Terapia imunoprofilática com palivizumabe para o vírus sincicial respiratório (por sessão) – ambulatorial;2018-01-01;;2018-03-31
20104472;Terapia subcutânea com imunoglobulina humana policlonal;2021-08-01;;2021-10-31
20104480;Terapia anti-reabsortiva óssea intravenosa - ambulatorial  ;2021-04-01;;2021-06-30
20104499;Terapia biológica anti-reabsortiva óssea subcutânea - ambulatorial;2021-08-01;;2021-10-31
20104502;Terapia anabólica óssea subcutânea - ambulatorial;2021-08-01;;2021-10-31
20104510;Terapia imunobiológica intramuscular (por sessão) - ambulatorial;2021-04-01;;2021-06-30
20105010;Perícia forense, por psiquiatra forense;2009-02-13;;2010-10-15
20105029;Perícia psiquiátrica administrativa;2009-02-13;;2010-10-15
20105037;Fornecimento de equipamentos coletores e adjuvantes para colostomia, ileostomia e urostomia, sonda vesical de demora e coletor de urina;2013-12-01;;2014-08-31
20201010;Acompanhamento clínico de transplante renal no período de internação do receptor e do doador (pós-operatório até 15 dias);2009-02-13;;2010-10-15
20201028;Acompanhamento peroperatório;2009-02-13;;2010-10-15
20201036;Assistência cardiológica peroperatória em cirurgia geral e em parto (primeira hora);2009-02-13;;2010-10-15
20201044;Assistência cardiológica peroperatória em cirurgia geral e em parto (horas suplementares) - máximo de 4 horas;2009-02-13;;2010-10-15
20201052;Cardioversão elétrica eletiva (avaliação clínica, eletrocardiográfica, indispensável à desfibrilação);2009-02-13;;2010-10-15
20201060;Rejeição de enxerto renal - tratamento internado - avaliação clínica diária - por visita;2009-02-13;;2010-10-15
20201079;Transplante duplo rim-pâncreas - acompanhamento clínico (pós-operatório até 15 dias);2009-02-13;;2010-10-15
20201087;Tratamento  conservador  de  traumatismo  cranioencefálico, hipertensão  intracraniana  e  hemorragia (por dia);2009-02-13;;2010-10-15
20201095;Assistência cardiológica no pós-operatório de cirurgia cardíaca (após a alta da UTI);2009-02-13;;2010-10-15
20201109;Avaliação clínica diária enteral;2009-02-13;;2010-10-15
20201117;Avaliação clínica diária parenteral;2009-02-13;;2010-10-15
20201125;Avaliação clínica diária parenteral e enteral;2009-02-13;;2010-10-15
20201133;Acompanhamento médico na litotripsia extracorpórea;2012-10-10;;2014-08-31
20201150;Acompanhamento clínico hospitalar do tabagista em síndrome de abstinência, por avaliação, com visitas pós internação e pré alta, limitada a 2;2021-08-01;;2021-10-31
20202016;Cardiotocografia anteparto;2009-02-13;;2010-10-15
20202024;Cardiotocografia intraparto (por hora) até 6 horas externa;2009-02-13;;2010-10-15
20202032;Monitorização hemodinâmica invasiva (por 12 horas);2009-02-13;;2010-10-15
20202040;Monitorização neurofisiológica intra-operatória;2009-02-13;;2010-10-15
20202059;Potencial evocado intra-operatório - monitorização cirúrgica (PE/IO);2009-02-13;;2010-10-15
20202067;Monitorização da pressão intracraniana (por dia);2009-02-13;;2010-10-15
20203012;Assistência fisiátrica respiratória em paciente internado com ventilação mecânica;2009-02-13;;2010-10-15
20203020;Eletroestimulação do assoalho pélvico e/ou outra técnica de exercícios perineais;2009-02-13;;2010-10-15
20203047;Assistência fisiátrica respiratória em doente clínico internado;2009-02-13;;2010-10-15
20203063;Pacientes com doença isquêmica do coração, hospitalizado, até 8 semanas de programa;2009-02-13;;2010-10-15
20203071;Pacientes em pós-operatório de cirurgia cardíaca, hospitalizado, até 8 semanas de programa;2009-02-13;;2010-10-15
20204027;Cardioversão elétrica de emergência;2009-02-13;;2010-10-15
20204035;Cardioversão química de arritmia paroxísta em emergência;2009-02-13;;2010-10-15
20204043;Priapismo - tratamento não cirúrgico;2009-02-13;;2010-10-15
20204086;Terapia oncológica com aplicação intra-arterial de medicamentos, em regime de aplicação peroperatória, por meio de cronoinfusor ou perfusor extra-corpórea;2009-02-13;;2010-10-15
20204159;Pulsoterapia intravenosa (por sessão) - hospitalar;2010-09-09;;2010-10-15
20204167;Terapia imunobiológica intravenosa (por sessão) - hospitalar;2012-10-10;;2014-08-31
20204175;Terapia imunobiológica subcutânea (por sessão) - hospitalar;2013-12-01;;2014-08-31
20204183;Terapia imunoprofilática com palivizumabe para o vírus sincicial respiratório (por sessão) – hospitalar;2018-01-01;;2018-03-31
20204205;Terapia anti-reabsortiva óssea intravenosa - hospitalar;2021-04-01;;2021-06-30
20204213;Terapia biológica anti-reabsortiva óssea subcutânea - hospitalar;2021-08-01;;2021-10-31
20204221;Terapia anabólica óssea subcutânea - hospitalar;2021-08-01;;2021-10-31
20204230;Terapia imunobiológica intramuscular (por sessão) - hospitalar;2021-04-01;;2021-06-30
30101018;Abrasão cirúrgica (por sessão);2009-02-13;;2010-10-15
30101026;Alopecia parcial - exérese e sutura;2009-02-13;;2010-10-15
30101034;Alopecia parcial - rotação de retalho;2009-02-13;;2010-10-15
30101042;Alopecia parcial - rotação múltipla de retalhos;2009-02-13;;2010-10-15
30101050;Apêndice pré-auricular - ressecção;2009-02-13;;2010-10-15
30101069;Autonomização de retalho - por estágio;2009-02-13;;2010-10-15
30101077;Biópsia de pele, tumores superficiais, tecido celular subcutâneo, linfonodo superficial, etc;2009-02-13;;2010-10-15
30101085;Biópsia de unha;2009-02-13;;2010-10-15
30101093;Calosidade e/ou mal perfurante - desbastamento (por lesão);2009-02-13;;2010-10-15
30101107;Cauterização química (por grupo de até 5 lesões);2009-02-13;;2010-10-15
30101115;Cirurgia da hidrosadenite (por região);2009-02-13;;2010-10-15
30101123;Cirurgia micrográfica de Mohs;2009-02-13;;2010-10-15
30101140;Correção cirúrgica de linfedema (por estágio);2009-02-13;;2010-10-15
30101158;Correção cirúrgica de sequelas de alopecia traumática com microenxertos pilosos (por região);2009-02-13;;2010-10-15
30101166;Correção de deformidades nos membros com utilização de implantes;2009-02-13;;2010-10-15
30101174;Correção de deformidades por exérese de tumores, cicatrizes ou ferimentos com o emprego de expansores  em retalhos  musculares ou miocutâneos (por estágio);2009-02-13;;2010-10-15
30101182;Correção de deformidades por exérese de tumores, cicatrizes ou ferimentos, com o emprego de expansores de tecido, em retalhos cutâneos (por estágio);2009-02-13;;2010-10-15
30101190;Correção de lipodistrofia braquial, crural ou trocanteriana de membros superiores e inferiores;2009-02-13;;2010-10-15
30101204;Criocirurgia (nitrogênio líquido) de neoplasias cutâneas;2009-02-13;;2010-10-15
30101212;Curativo de queimaduras - por unidade topográfica (UT) ambulatorial;2009-02-13;;2010-10-15
30101220;Curativo de queimaduras - por unidade topográfica (UT) hospitalar;2009-02-13;;2010-10-15
30101239;Curativo especial sob anestesia - por unidade topográfica (UT);2009-02-13;;2010-10-15
30101247;Curetagem e eletrocoagulação de CA de pele (por lesão);2009-02-13;;2010-10-15
30101255;Curetagem simples de lesões de pele (por grupo de até 5 lesões);2009-02-13;;2010-10-15
30101263;Dermoabrasão de lesões cutâneas;2009-02-13;;2010-10-15
30101271;Dermolipectomia para correção de abdome em avental;2009-02-13;;2010-10-15
30101280;Desbridamento cirúrgico - por unidade topográfica (UT);2009-02-13;;2010-10-15
30101298;Eletrocoagulação de lesões de pele e mucosas - com ou sem curetagem (por grupo de até 5 lesões);2009-02-13;;2010-10-15
30101301;Enxerto cartilaginoso;2009-02-13;;2010-10-15
30101310;Enxerto composto;2009-02-13;;2010-10-15
30101328;Enxerto de mucosa;2009-02-13;;2010-10-15
30101336;Enxerto de pele (homoenxerto inclusive);2009-02-13;;2010-10-15
30101344;Enxerto de pele múltiplo - por unidade topográfica (UT);2009-02-13;;2010-10-15
30101352;Epilação por eletrólise (por sessão);2009-02-13;;2010-10-15
30101360;Escalpo  parcial  -  tratamento cirúrgico;2009-02-13;;2010-10-15
30101379;Escalpo total - tratamento cirúrgico;2009-02-13;;2010-10-15
30101387;Escarectomia descompressiva (pele e estruturas profundas) - por unidade topográfica (UT);2009-02-13;;2010-10-15
30101395;Esfoliação química média (por sessão);2009-02-13;;2010-10-15
30101409;Esfoliação química profunda (por sessão);2009-02-13;;2010-10-15
30101417;Esfoliação química superficial (por sessão);2009-02-13;;2010-10-15
30101425;Exérese de higroma cístico;2009-02-13;;2010-10-15
30101433;Exérese de higroma cístico no RN e lactente;2009-02-13;;2010-10-15
30101441;Exérese de lesão com auto-enxertia;2009-02-13;;2010-10-15
30101450;Exérese e sutura de lesões (circulares ou não) com rotação de retalhos cutâneos;2009-02-13;;2010-10-15
30101468;Exérese de lesão / tumor de pele e mucosas;2009-02-13;;2010-10-15
30101476;Exérese de tumor e rotação de retalho músculo-cutâneo;2009-02-13;;2010-10-15
30101484;Exérese de unha;2009-02-13;;2010-10-15
30101492;Exérese e sutura simples de pequenas lesões (por grupo de até 5 lesões);2009-02-13;;2010-10-15
30101506;Exérese tangencial (shaving) - (por grupo de até 5 lesões);2009-02-13;;2010-10-15
30101514;Expansão tissular (por sessão);2009-02-13;;2010-10-15
30101522;Extensos ferimentos, cicatrizes ou tumores - excisão e retalhos cutâneos da região;2009-02-13;;2010-10-15
30101530;Extensos ferimentos, cicatrizes ou tumores - exérese e emprego de retalhos cutâneos ou musculares  cruzados (por estágio);2009-02-13;;2010-10-15
30101549;Extensos ferimentos, cicatrizes ou tumores - exérese e retalhos cutâneos à distância;2009-02-13;;2010-10-15
30101557;Extensos ferimentos, cicatrizes ou tumores - exérese e rotação de retalho fasciocutâneo ou axial;2009-02-13;;2010-10-15
30101565;Extensos ferimentos, cicatrizes ou tumores - exérese e rotação de retalhos miocutâneos;2009-02-13;;2010-10-15
