Código do Termo;Termo;Apresentação;Laboratório;Data de início de vigência;Data de fim de vigência;Data de fim de implantação;REGISTRO ANVISA
90203119;COPAXONE;20 MG/ML SOL INJ CT 28 SERINGA PRE-ENCHIDA X 1 ML;TEVA FARMACÊUTICA LTDA.;2012-10-10;;2014-08-31;1557300010010
90414942;COPAXONE;40 MG/ML SOL INJ SC CT 12 SER PREENC VD TRANS X 1 ML;TEVA FARMACÊUTICA LTDA.;2019-03-01;;2019-05-31;1557300010045
90035402;MEGESTAT;160 MG COM CT FR VD AMB X 30;BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA;2016-01-01;;2016-03-31;1018001420033
90120930;FEMIGESTROL;160 MG COM CT BL AL PLAS INC X 30;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;2016-01-01;;2016-03-31;1064601230010
90302699;ACIDO ZOLEDRONICO;4 MG PO LIOF SOL INJ IV CX FA VC AMB;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;2016-01-01;;2016-03-31;1029804150013
90302702;ACIDO ZOLEDRONICO;4 MG PO LIOF SOL INJ IV CX 4 FA VC AMB;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;2016-01-01;;2016-03-31;1029804150021
90302710;ACIDO ZOLEDRONICO;4 MG PO LIOF SOL INJ IV CX 10 FA VD AMB;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;2016-01-01;;2016-03-31;1029804150031
90065832;ÁCIDO ZOLEDRÔNICO;4MG SOL INJ IV CT FA AMP PLAS INC X 5ML ;EUROFARMA LABORATÓRIOS S.A.;2016-01-01;;2016-03-31;1004310260017
90380614;ACIDO ZOLEDRONICO;4 MG SOL INJ CT FA PLAS TRANS X 100 ML;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;2018-01-01;;2018-03-31;1004706010051
90232372;ZOLIBBS;0,8 MG/ML SOL INJ CT FA VD INC X 5 ML;LIBBS FARMACÊUTICA LTDA;2012-10-10;;2014-08-31;1003301570019
90436067;ZOLIBBS;0,04 MG/ML SOL INFUS CT FA PLAS TRANS SIST FECH X 100 ML;LIBBS FARMACÊUTICA LTDA;2019-10-01;;2019-12-31;1003301570027
90295897;ZOMETA;4 MG SOL INJ CT FA PLAS TRANS X 100 ML ;NOVARTIS BIOCIENCIAS S.A;2014-05-01;;2014-08-31;1006801540113
90169255;ACLASTA;5 MG / 100 ML SOL INJ CT FR PLAS X 100 ML;NOVARTIS BIOCIENCIAS S.A;2012-10-10;;2014-08-31;1006810260012
90278690;ÁCIDO ZOLEDRÔNICO;4 MG PO LIOF SOL INJ IV CT FA VD TRANS;SUN FARMACÊUTICA DO BRASIL LTDA;2016-01-01;;2016-03-31;1468200320017
90278739;ZOBONE;4 MG PÓ LIOF SOL INJ CT FA VD TRANS ;SUN FARMACÊUTICA DO BRASIL LTDA;2016-01-01;;2016-03-31;1468200330012
90298527;ACIDO ZOLEDRONICO;4 MG PO LIOF SOL INJ IV CT FA VD TRANS X 10ML ;ANTIBIÓTICOS DO BRASIL LTDA;2016-01-01;;2016-03-31;1556200380012
90298535;ACIDO ZOLEDRONICO;4 MG PO LIOF SOL INJ IV CT 5 FA VD TRANS X 10ML ;ANTIBIÓTICOS DO BRASIL LTDA;2016-01-01;;2016-03-31;1556200380020
90298543;ACIDO ZOLEDRONICO;4 MG PO LIOF SOL INJ IV CT 10 FA VD TRANS X 10ML ;ANTIBIÓTICOS DO BRASIL LTDA;2016-01-01;;2016-03-31;1556200380039
90298551;ACIDO ZOLEDRONICO;4 MG PO LIOF SOL INJ IV CT 25 FA VD TRANS X 10ML (EMB HOSP);ANTIBIÓTICOS DO BRASIL LTDA;2016-01-01;;2016-03-31;1556200380047
90298560;ACIDO ZOLEDRONICO;4 MG PO LIOF SOL INJ IV CT 50 FA VD TRANS X 10ML (EMB HOSP);ANTIBIÓTICOS DO BRASIL LTDA;2016-01-01;;2016-03-31;1556200380055
90298578;ACIDO ZOLEDRONICO;4 MG PO LIOF SOL INJ IV CT 100 FA VD TRANS X 10ML (EMB HOSP);ANTIBIÓTICOS DO BRASIL LTDA;2016-01-01;;2016-03-31;1556200380063
90300122;ACIDO ZOLEDRONICO;4 MG SOL INJ IV CT FA VD TRANS X 5 ML;BLAU FARMACÊUTICA S.A.;2016-01-01;;2016-03-31;1163701290013
90300149;ACIDO ZOLEDRONICO;4 MG SOL INJ IV CT 10 FA VD TRANS X 5 ML;BLAU FARMACÊUTICA S.A.;2016-01-01;;2016-03-31;1163701290031
90300157;ACIDO ZOLEDRONICO;4 MG SOL INJ IV CT 1 FA VD TRANS X 5 + 9 MG/ML SOL INJ IV FR PLAS SIST FECH X 100 ML;BLAU FARMACÊUTICA S.A.;2016-01-01;;2016-03-31;1163701290048
90426088;TEORO;0,05 MG/ML SOL INFUS CT FA PLAS TRANS SIST FECH X 100 ML;LIBBS FARMACÊUTICA LTDA;2019-06-01;;2019-08-31;1003302040013
90430506;ÁCIDO ZOLEDRÔNICO;0,8 MG/ML SOL INJ IV CT FA VD TRANS X 5 ML;MYLAN LABORATORIOS LTDA;2019-06-01;;2019-08-31;1883000600015
90430514;ÁCIDO ZOLEDRÔNICO;0,8 MG/ML SOL INJ IV CT 4 FA VD TRANS X 5 ML;MYLAN LABORATORIOS LTDA;2019-06-01;;2019-08-31;1883000600023
90430522;ÁCIDO ZOLEDRÔNICO;0,8 MG/ML SOL INJ IV CT 10 FA VD TRANS X 5 ML;MYLAN LABORATORIOS LTDA;2019-06-01;;2019-08-31;1883000600031
90421361;DENSIS;5MG SOL INJ CT FR PLAS TRANS SIST FECH X 100ML;MOMENTA FARMACÊUTICA LTDA.;2019-03-01;;2019-05-31;1942700230041
90000552;HUMIRA;40MG SOL INJ CT 2 BL X SER X 0,8 ML + ENV LENÇO COM ALCOOL ;ABBOTT LABORATÓRIOS DO BRASIL LTDA;2012-10-10;;2014-08-31;1055302940025
90330587;HUMIRA;40 MG SOL INJ CT 2 BL X SER X 0,8 ML + SIST APLIC PLAST (PEN) + ENV LENÇO COM ÁLCOOL.;ABBVIE FARMACÊUTICA LTDA.;2016-01-01;;2016-03-31;1986000030041
90330595;HUMIRA;40MG SOL INJ CT 2 BL X SER X 0,8 ML + ENV LENÇO COM ALCOOL ;ABBVIE FARMACÊUTICA LTDA.;2016-01-01;;2016-03-31;1986000030023
90330641;HUMIRA;40 MG SOL INJ CT 2 CX X 1 FA VD TRANS X 0,8 ML + 1 SER + 1 AGU + 1 ADPT + 2 LEN ALCOOL;ABBVIE FARMACÊUTICA LTDA.;2016-01-01;;2016-03-31;1986000030058
90421515;HUMIRA;40MG SOL INJ CT 2 BL X SER PREENC VD TRANS X 0,4 ML + CAN APLIC +ENV LEN ALCOOL;ABBVIE FARMACÊUTICA LTDA.;2019-03-01;;2019-05-31;1986000030082
90421523;HUMIRA;40MG SOL INJ CT 2 BL X SER PREENC VD TRANS X 0,4 ML + CAN APLIC (ADVANCE) + ENV LEN ALCOOL;ABBVIE FARMACÊUTICA LTDA.;2019-03-01;;2019-05-31;1986000030090
90421531;HUMIRA;80 MG SOL INJ CT BL X SER PREENC VD TRANS X 0,8 ML + ENV LEN ALCOOL;ABBVIE FARMACÊUTICA LTDA.;2019-03-01;;2019-05-31;1986000030104
90421540;HUMIRA;80 MG SOL INJ CT BLX SER PREENC VD TRANS X 0,8 ML + CAN APLIC + ENV LEN ALCOOL;ABBVIE FARMACÊUTICA LTDA.;2019-03-01;;2019-05-31;1986000030112
90421558;HUMIRA;80 MG SOL INJ CT BL X SER PREENC VD TRANS X 0,8 ML + CAN APLIC (ADVANCE) + ENV LEN ALCOOL;ABBVIE FARMACÊUTICA LTDA.;2019-03-01;;2019-05-31;1986000030120
90421566;HUMIRA;40MG SOL INJ CT 2 BL X SER PREENC VD TRANS X 0,4 ML + ENV LEN ALCOOL;ABBVIE FARMACÊUTICA LTDA.;2019-03-01;;2019-05-31;1986000030074
90421582;HUMIRA;20 MG SOL INJ CT 2 BL X SER PREENCH X 0,2 ML + ENV LEN ÁLCOOL;ABBVIE FARMACÊUTICA LTDA.;2019-03-01;;2019-05-31;1986000030139
90373189;ZALTRAP;25 MG/ML SOL DIL INFUS CT FA VD TRANSP X 4 ML;SANOFI-AVENTIS FARMACÊUTICA LTDA;2018-01-01;;2018-03-31;1130011480010
90373197;ZALTRAP;25 MG/ML SOL DIL INFUS CT FA VD TRANSP X 8 ML ;SANOFI-AVENTIS FARMACÊUTICA LTDA;2018-01-01;;2018-03-31;1130011480037
90284739;EYLIA;40 MG/ML SOL INJ CT 1 FA VD TRANS X 0,278 ML + AGU COM FILTRO 01;BAYER S.A.;2013-12-01;;2014-08-31;1705600970011
90284747;EYLIA;40 MG/ML SOL INJ CT 1 SER PREENC VD TRANS BL PLAS X 0,165 ML;BAYER S.A.;2013-12-01;;2014-08-31;1705600970028
90395611;LEMTRADA;10 MG/ML SOL DIL INFUS CT FA VD TRANS;SANOFI-AVENTIS FARMACÊUTICA LTDA;2019-03-01;;2019-05-31;1130011930016
90314417;LEMTRADA;10 MG/ML SOL DIL INFUS CT FA VD TRANS;GENZYME DO BRASIL LTDA;2016-01-01;;2016-03-31;1254300250018
90373103;PRALUENT;75 MG/ML SOL INJ CT 1 SER PREENC VD TRANS X 1,0 ML X 1 CAN APLIC;SANOFI-AVENTIS FARMACÊUTICA LTDA;2018-01-01;;2018-03-31;1130011600040
90373111;PRALUENT;75 MG/ML SOL INJ CT 2 SER PREENC VD TRANS X 1,0 ML X 2 CAN APLIC;SANOFI-AVENTIS FARMACÊUTICA LTDA;2018-01-01;;2018-03-31;1130011600059
90373120;PRALUENT;75 MG/ML SOL INJ CT 6 SER PREENC VD TRANS X 1,0 ML X 6 CAN APLIC;SANOFI-AVENTIS FARMACÊUTICA LTDA;2018-01-01;;2018-03-31;1130011600067
90373227;PRALUENT;150 MG/ML SOL INJ CT 1 SER PREENC VD TRANS X 1,0 ML X 1 CAN APLIC;SANOFI-AVENTIS FARMACÊUTICA LTDA;2018-01-01;;2018-03-31;1130011600105
90373235;PRALUENT;150 MG/ML SOL INJ CT 2 SER PREENC VD TRANS X 1,0 ML X 2 CAN APLIC;SANOFI-AVENTIS FARMACÊUTICA LTDA;2018-01-01;;2018-03-31;1130011600113
90373243;PRALUENT;150 MG/ML SOL INJ CT 6 SER PREENC VD TRANS X 1,0 ML X 6 CAN APLIC;SANOFI-AVENTIS FARMACÊUTICA LTDA;2018-01-01;;2018-03-31;1130011600121
90015363;ARIMIDEX;1 MG COM REV CT 2 BL AL PLAS INC X 14;ASTRAZENECA DO BRASIL LTDA;2012-10-10;;2014-08-31;1161800630010
90066235;ANASTROZOL;1 MG COM REV CT BL AL PLAS INC X 30;EUROFARMA LABORATÓRIOS S.A.;2016-01-01;;2016-03-31;1004309310030
90403096;ANASTROZOL;1 MG COM REV CT BL AL PLAS TRANS X 30;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;2019-03-01;;2019-05-31;1004706090010
90250532;ANASTROLIBBS;1 MG COM REV CT BL AL PLAS INC X 30;LIBBS FARMACÊUTICA LTDA;2013-12-01;;2014-08-31;1003301530025
90413636;ANYA;1 MG COM REV CT BL AL PVC X 28;SUN FARMACÊUTICA DO BRASIL LTDA;2019-03-01;;2019-05-31;1468200670026
90390385;ANASTROZOL;1 MG COM REV CT BL AL PLAS PVDC OPC X 28;EMS S/A;2018-01-01;;2018-03-31;1023512160011
90418948;ANASTROZOL;1 MG COM REV CT BL AL PLAS PVDC OPC X 30;EMS S/A;2019-03-01;;2019-05-31;1023512160060
90419006;ARAZABI;1 MG COM REV CT BL AL PLAS PVDC OPC X 30;EMS S/A;2019-03-01;;2019-05-31;1023512340069
90403630;ERLEADA;60 MG COM REV CT FR PLAS OPC X 120;JANSSEN-CILAG FARMACÊUTICA LTDA;2019-03-01;;2019-05-31;1123634190017
90423429;OTEZLA;30 MG COM REV CT BL AL PLAS TRANS X 56;CELGENE BRASIL PRODUTOS FARMACÊUTICOS LTDA.;2019-03-01;;2019-05-31;1961400030017
90423437;OTEZLA;10 MG COM REV CT BL AL PLAS TRANS X 4 + 20 MG COM REV CT BL AL PLAS TRANS X 4 + 30 MG COM REV CT BL AL PLAS TRANS X 19;CELGENE BRASIL PRODUTOS FARMACÊUTICOS LTDA.;2019-03-01;;2019-05-31;1961400030025
90411919;TECENTRIQ;1200 MG SOL DIL INFUS IV CT FA VD TRANS X 20 ML;PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;2019-03-01;;2019-05-31;1010006650018
90408128;BAVENCIO;20 MG/ML SOL DIL INF CT FA VD TRANS X 10 ML;MERCK S/A;2019-03-01;;2019-05-31;1008904030017
90339959;INLYTA;1 MG COM REV CT FR PLAS OPC X 180;LABORATÓRIOS PFIZER LTDA;2016-06-01;;2016-08-31;1021602400064
90339967;INLYTA;5 MG COM REV CT FR PLAS OPC X 60;LABORATÓRIOS PFIZER LTDA;2016-06-01;;2016-08-31;1021602400080
90211499;VIDAZA;100MG/200MG PO LIOF SUS INJ SC FA VD INC X 200MG;UNITED MEDICAL LTDA;2012-10-10;;2014-08-31;1257600200010
90358597;AZACITIDINA;100MG/200MG PO LIOF SUS INJ SC FA VD INC X 200MG;UNITED MEDICAL LTDA;2017-04-10;;2017-07-09;1257600250018
90220170;IMURAN;50 MG COM REV CT BL AL PLAS BR OPC X 50;ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA;2012-10-10;;2014-08-31;1376401280017
90292820;IMURAN;50 MG COM REV CT BL AL PLAS BR OPC X 100;ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA;2014-05-01;;2014-08-31;1376401280033
90257286;IMUNEN;50 MG COM REV CX BL AL PLAS INC X 200 (EMB HOSP);CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;2013-12-01;;2014-08-31;1029800900042
90077300;FURP-AZATIOPRINA;50 MG COM CX 50 ENV AL POLIET X 10 (EMB HOSP);FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;2012-10-10;;2014-08-31;1103901070013
90320280;IMUSSUPREX;50 MG COM REV CT BL AL PLAS OPC X 50;GERMED FARMACEUTICA LTDA;2016-01-01;;2016-03-31;1058300030050
90172680;SIMULECT;20 MG PÓ LIOF INJ CT FA VD INC + AMP VD INC DIL X 5 ML ;NOVARTIS BIOCIENCIAS S.A;2012-10-10;;2014-08-31;1006800010013
90409710;SIMULECT;20 MG PÓ LIOF INJ CT FA VD INC;NOVARTIS BIOCIENCIAS S.A;2019-03-01;;2019-05-31;1006800010072
90254015;BENLYSTA;120 MG PO LIOF INJ CT FA VD INC;GLAXOSMITHKLINE BRASIL LTDA;2019-03-01;;2014-08-31;1010702950011
90254023;BENLYSTA;400 MG PO LIOF INJ CT FA VD INC ;GLAXOSMITHKLINE BRASIL LTDA;2013-12-01;;2014-08-31;1010702950028
90380746;RIBOMUSTIN;25 MG PO LIOF SOL INJ INFUS CT FA VD AMB;JANSSEN-CILAG FARMACÊUTICA LTDA;2018-01-01;;2018-03-31;1123634130014
90380754;RIBOMUSTIN;100 MG PO LIOF SOL INJ INFUS CT FA VD AMB;JANSSEN-CILAG FARMACÊUTICA LTDA;2018-01-01;;2018-03-31;1123634130022
90395107;FASENRA;30 MG/ML SOL INJ CT SER PREECH VD TRANS X 1ML;ASTRAZENECA DO BRASIL LTDA;2019-03-01;;2019-05-31;1161802670011
90162064;REBIF;44 MCG SOL INJ CT 12 SER PREENC VD TRANS X 0,5 ML;MERCK S/A;2019-08-01;;2014-08-31;1008903510041
90162056;REBIF;22 MCG SOL INJ CT 12 SER PREENC VD TRANS X 0,5 ML;MERCK S/A;2019-08-01;;2014-08-31;1008903510023
90024931;AVONEX;60 MCG/ML SOL INJ CT 4 BL C/ SER PREENCH X 0,5 ML + AGU ;BIOGEN BRASIL PRODUTOS FARMACÊUTICOS LTDA;2016-01-01;;2016-03-31;1699300010020
90242475;AVONEX;60 MCG/ML SOL INJ CT 4 CT C/ SER PREENCH X 0,5 ML EM APLIC + AGU + CAPA PROTETORA P/ DESCARTE;BIOGEN BRASIL PRODUTOS FARMACÊUTICOS LTDA;2016-01-01;;2016-03-31;1699300010039
90438710;BIO-MANGUINHOS BETAINTERFERONA 1A;22 MCG SOL INJ CT 12 SER PREENC VD TRANS X 0,5 ML;FUNDAÇÃO OSWALDO CRUZ;2019-10-01;;2019-12-31;1106301450022
90438728;BIO-MANGUINHOS BETAINTERFERONA 1A;44 MCG SOL INJ CT 12 SER PREENC VD TRANS X 0,5 ML;FUNDAÇÃO OSWALDO CRUZ;2019-10-01;;2019-12-31;1106301450049
90320620;EXTAVIA;9,6 MUI PÓ LIOF INJ CT 5 FA VD INC + 5 SER (2,25 ML) VD INC DIL X 1,2 ML;NOVARTIS BIOCIENCIAS S.A;2016-01-01;;2016-03-31;1006810810039
90320638;EXTAVIA;9,6 MUI PÓ LIOF INJ CT 15 FA VD INC + 15 SER (2,25 ML) VD INC DIL X 1,2 ML;NOVARTIS BIOCIENCIAS S.A;2016-01-01;;2016-03-31;1006810810047
90246616;BETAFERON;9,6 MUI PO LIOF INJ CT 15 CT 1 FA VD INC + 1 SER VD INC DIL X 1,2 ML + ADAP COM AGULHA + 2 ENV LENÇO;BAYER S.A.;2012-10-10;;2014-08-31;1705600530036
90387732;PLEGRIDY;63 MCG SOL INJ CT SER PREENC VD TRANS X 0,5 ML + 94 MCG SOL INJ CT SER PREENC VD TRANS X 0,5 ML;BIOGEN BRASIL PRODUTOS FARMACÊUTICOS LTDA;2018-01-01;;2018-03-31;1699300070015
90387740;PLEGRIDY;63 MCG SOL INJ CT SER PREENC VD TRANS X 0,5 ML EM CAN APLIC + 94 MCG SOL INJ CT SER PREENC VD TRANS X 0,5 ML EM CAN APLIC;BIOGEN BRASIL PRODUTOS FARMACÊUTICOS LTDA;2018-01-01;;2018-03-31;1699300070023
90387759;PLEGRIDY;125 MCG SOL INJ CT 2 SER PREENC VD TRANS X 0,5 ML;BIOGEN BRASIL PRODUTOS FARMACÊUTICOS LTDA;2018-01-01;;2018-03-31;1699300070031
90387767;PLEGRIDY;125 MCG SOL INJ CT 2 SER PREENC VD TRANS X 0,5 ML EM CAN APLIC;BIOGEN BRASIL PRODUTOS FARMACÊUTICOS LTDA;2018-01-01;;2018-03-31;1699300070041
90184114;AVASTIN;25 MG/ML SOL INJ P/ INF IV CT FA VD INC X 4 ML ;PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;2012-10-10;;2014-08-31;1010006370015
90184106;AVASTIN;25 MG/ML SOL INJ P/ INF IV CT FA VD INC X 16 ML ;PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;2012-10-10;;2014-08-31;1010006370023
90015630;CASODEX;50 MG COM REV CT BL AL PLAS INC X 28;ASTRAZENECA DO BRASIL LTDA;2012-10-10;;2014-08-31;1161800620015
90222067;BICALUTAMIDA;50 MG COM REV CT BL AL PLAS INC X 30;EUROFARMA LABORATÓRIOS S.A.;2016-01-01;;2016-03-31;1004310550015
90001990;BICALUTAMIDA;50 MG COM REV CT BL AL PLAS INC X 28;ACCORD FARMACÊUTICA LTDA;2012-10-10;;2014-08-31;1553700170012
90387724;BICALUTAMIDA;50 MG COM REV CT BL AL PLAS TRANS X 30;ACCORD FARMACÊUTICA LTDA;2018-01-01;;2018-03-31;1553700170020
90415027;BYCAL;50 MG COM REV CT BL AL PLAS TRANS X 28;ACCORD FARMACÊUTICA LTDA;2019-03-01;;2019-05-31;1553700550011
90415035;BYCAL;50 MG COM REV CT BL AL PLAS TRANS X 30;ACCORD FARMACÊUTICA LTDA;2019-03-01;;2019-05-31;1553700550028
90415043;BYCAL;50 MG COM REV CT BL AL PLAS TRANS X 56;ACCORD FARMACÊUTICA LTDA;2019-03-01;;2019-05-31;1553700550036
90415051;BYCAL;50 MG COM REV CT BL AL PLAS TRANS X 60;ACCORD FARMACÊUTICA LTDA;2019-03-01;;2019-05-31;1553700550044
90415060;BYCAL;50 MG COM REV CT BL AL PLAS TRANS X 84;ACCORD FARMACÊUTICA LTDA;2019-03-01;;2019-05-31;1553700550052
90415078;BYCAL;50 MG COM REV CT BL AL PLAS TRANS X 90;ACCORD FARMACÊUTICA LTDA;2019-03-01;;2019-05-31;1553700550060
90391764;BLINCYTO;38,5 MCG PO LIOF SOL INJ CT FA VD TRANS + 1 FA SOL ESTABIL X 10 ML;AMGEN BIOTECNOLOGIA DO BRASIL LTDA.;2018-01-01;;2018-03-31;1024400110019
90377265;BOZORED;3,5 MG PÓ LIOF SOL INJ CT FA VD TRANS;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;2018-01-01;;2018-03-31;1514300270019
90377273;BORTEZOMIBE;3,5 MG PÓ LIOF SOL INJ CT FA VD TRANS;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;2018-01-01;;2018-03-31;1514300220011
90107250;VELCADE;3,5 MG PÓ LIOF INJ CT FA VD INC;JANSSEN-CILAG FARMACÊUTICA LTDA;2012-10-10;;2014-08-31;1123633730018
90404068;MIELOCADE;3,5 MG PO LIOF SOL INJ CT FA VD TRANS;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;2019-03-01;;2019-05-31;1064602100013
90404084;BORTEZOMIBE;3,5 MG PO LIOF SOL INJ CT FA VD TRANS;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;2019-03-01;;2019-05-31;1064602080012
90426096;VERAZO;1 MG PO LIOF SOL INJ CT FA VD AMB;LIBBS FARMACÊUTICA LTDA;2019-06-01;;2019-08-31;1003302020012
90426100;VERAZO;1,5 MG PO LIOF SOL INJ CT FA VD AMB;LIBBS FARMACÊUTICA LTDA;2019-06-01;;2019-08-31;1003302020020
90426118;VERAZO;3,5 MG PO LIOF SOL INJ CT FA VD AMB;LIBBS FARMACÊUTICA LTDA;2019-06-01;;2019-08-31;1003302020039
90288963;BORTEZOMIBE;3,5 MG PO LIOF INJ CT FA VC INC;ACCORD FARMACÊUTICA LTDA;2014-05-01;;2014-08-31;1553700320014
90326040;BORTYZ;3,5 MG PO LIOF INJ CT FA VD TRANS;ACCORD FARMACÊUTICA LTDA;2016-01-01;;2016-03-31;1553700370011
90432088;TOVAR;3,5 MG PO LIOF SOL INJ CT FA VD TRANS;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;2019-06-01;;2019-08-31;1057305320016
90298047;ADCETRIS;50 MG PO LIOF INJ CX 1 FA VD TRANS;TAKEDA PHARMA LTDA.;2016-01-01;;2016-03-31;1063902690012
90211707;MESTINON;60 MG COM CT FR VD AMB X 60;VALEANT FARMACÊUTICA DO BRASIL LTDA;2012-10-10;;2014-08-31;1057500450020
90418336;MESTINON;60 MG COM CT FR VD AMB X 60;CELLERA FARMACÊUTICA S.A.;2019-03-01;;2019-05-31;1044001920021
90375580;MYLERAN;2 MG COM REV CT FR VD AMB X 25;ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA;2018-01-01;;2018-03-31;1376401490021
90221044;BUSILVEX;6 MG/ML SOL INJ CT 8 FA VD INC X 10 ML;LABORATÓRIOS PIERRE FABRE DO BRASIL LTDA;2012-10-10;;2014-08-31;1016202500014
90195620;JEVTANA;60 MG SOL INJ CX VD INC X 1,5 ML + DIL X 4,5 ML;SANOFI-AVENTIS FARMACÊUTICA LTDA;2012-10-10;;2014-08-31;1130010980011
90377060;CABAZRED;60 MG SOL INJ CT FR AMP VD TRANS X1,5ML + DIL FR AMP VD TRANS X 4,5 ML;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;2018-01-01;;2018-03-31;1514300200010
90377079;CABAZRED;60 MG SOL INJ CT BAND 5 FR AMP VD TRANS X1,5ML + DIL 5 FR AMP VD TRANS X 4,5 ML;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;2018-01-01;;2018-03-31;1514300200029
90377095;CABAZITAXEL;60 MG SOL INJ CT FR AMP VD TRANS X1,5ML + DIL FR AMP VD TRANS X 4,5 ML;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;2018-01-01;;2018-03-31;1514300190015
90377109;CABAZITAXEL;60 MG SOL INJ CT BAND 5 FR AMP VD TRANS X1,5ML + DIL 5 FR AMP VD TRANS X 4,5 ML;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;2018-01-01;;2018-03-31;1514300190023
