cd_procedimento,termo,categoria
30602262,Reconstrução da mama com prótese e/ou expansor,Masculino
30602262,Reconstrução da mama com prótese e/ou expansor,Feminino
30602262,Reconstrução da mama com prótese e/ou expansor,N. I.
30710014,Retirada de fios ou pinos metálicos transósseos,Masculino
30710014,Retirada de fios ou pinos metálicos transósseos,Feminino
30710014,Retirada de fios ou pinos metálicos transósseos,N. I.
30710022,"Retirada de fios, pinos, parafusos ou hastes metálicas intra-ósseas",Masculino
30710022,"Retirada de fios, pinos, parafusos ou hastes metálicas intra-ósseas",Feminino
30710022,"Retirada de fios, pinos, parafusos ou hastes metálicas intra-ósseas",N. I.
30711010,Imobilizações não-gessadas (qualquer segmento),Masculino
30711010,Imobilizações não-gessadas (qualquer segmento),Feminino
30711010,Imobilizações não-gessadas (qualquer segmento),N. I.
30711029,Imobilização de membro inferior,Masculino
30711029,Imobilização de membro inferior,Feminino
30711029,Imobilização de membro inferior,N. I.
30711037,Imobilização de membro superior,Masculino
30711037,Imobilização de membro superior,Feminino
30711037,Imobilização de membro superior,N. I.
30712017,Áxilo-palmar ou pendente,Masculino
30712017,Áxilo-palmar ou pendente,Feminino
30712017,Áxilo-palmar ou pendente,N. I.
30712092,Luva,Masculino
30712092,Luva,Feminino
30712092,Luva,N. I.
30713137,Punção articular diagnóstica ou terapêutica (infiltração) - orientada ou não por método de imagem,Masculino
30713137,Punção articular diagnóstica ou terapêutica (infiltração) - orientada ou não por método de imagem,Feminino
30713137,Punção articular diagnóstica ou terapêutica (infiltração) - orientada ou não por método de imagem,N. I.
30713145,Punção extra-articular diagnóstica ou terapêutica (infiltração/agulhamento seco) - orientada ou não por método de imagem,Masculino
30713145,Punção extra-articular diagnóstica ou terapêutica (infiltração/agulhamento seco) - orientada ou não por método de imagem,Feminino
30713145,Punção extra-articular diagnóstica ou terapêutica (infiltração/agulhamento seco) - orientada ou não por método de imagem,N. I.
30717094,Fraturas e/ou luxações e/ou avulsões - redução incruenta - em articulação escápulo-umeral e cintura escapular,Masculino
30717094,Fraturas e/ou luxações e/ou avulsões - redução incruenta - em articulação escápulo-umeral e cintura escapular,Feminino
30717094,Fraturas e/ou luxações e/ou avulsões - redução incruenta - em articulação escápulo-umeral e cintura escapular,N. I.
30719097,Fraturas e ou luxações - redução incruenta,Masculino
30719097,Fraturas e ou luxações - redução incruenta,Feminino
30719097,Fraturas e ou luxações - redução incruenta,N. I.
30721180,Fraturas e/ou luxações do punho - redução incruenta,Masculino
30721180,Fraturas e/ou luxações do punho - redução incruenta,Feminino
30721180,Fraturas e/ou luxações do punho - redução incruenta,N. I.
30722403,Fraturas de falanges ou metacarpianos - redução incruenta,Masculino
30722403,Fraturas de falanges ou metacarpianos - redução incruenta,Feminino
30722403,Fraturas de falanges ou metacarpianos - redução incruenta,N. I.
30722411,Fraturas de falanges ou metacarpianos - tratamento cirúrgico com fixação,Masculino
