cd_procedimento,termo,categoria,tot_qt,tot_vl,mean_vl
10105042,"Transporte extra-hospitalar terrestre de pacientes graves, por hora adicional - até o retorno do médico à base - acompanhamento médico",Masculino,124,69262.84,558.57
10105042,"Transporte extra-hospitalar terrestre de pacientes graves, por hora adicional - até o retorno do médico à base - acompanhamento médico",Feminino,152,71214.66,468.52
10105042,"Transporte extra-hospitalar terrestre de pacientes graves, por hora adicional - até o retorno do médico à base - acompanhamento médico",N. I.,6,558.9,93.15
10105069,"Transporte extra-hospitalar aéreo ou aquático de pacientes graves, por hora adicional - acompanhamento médico",Masculino,0,0,0
10105069,"Transporte extra-hospitalar aéreo ou aquático de pacientes graves, por hora adicional - acompanhamento médico",Feminino,0,0,0
10105069,"Transporte extra-hospitalar aéreo ou aquático de pacientes graves, por hora adicional - acompanhamento médico",N. I.,1,25320,25320
10105077,"Acompanhamento médico para transporte intra-hospitalar de pacientes graves, com ventilação assistida, da UTI para o centro de diagnósitco",Masculino,553,69560.3999999998,125.79
10105077,"Acompanhamento médico para transporte intra-hospitalar de pacientes graves, com ventilação assistida, da UTI para o centro de diagnósitco",Feminino,454,58145.5799999999,128.07
10105077,"Acompanhamento médico para transporte intra-hospitalar de pacientes graves, com ventilação assistida, da UTI para o centro de diagnósitco",N. I.,8,962.34,120.29
10106014,Aconselhamento genético,Masculino,44,7794.22,177.14
10106014,Aconselhamento genético,Feminino,260,51560.68,198.31
10106014,Aconselhamento genético,N. I.,2,400.41,200.2
10106030,Atendimento ao familiar do adolescente,Masculino,23,1164.97,50.65
10106030,Atendimento ao familiar do adolescente,Feminino,26,1395.32,53.67
10106030,Atendimento ao familiar do adolescente,N. I.,0,0,0
10106049,Atendimento pediátrico a gestantes (3º trimestre),Masculino,1,84,84
10106049,Atendimento pediátrico a gestantes (3º trimestre),Feminino,19,1175.58,61.87
10106049,Atendimento pediátrico a gestantes (3º trimestre),N. I.,0,0,0
10106073,Junta Médica (três ou mais profissionais) - destina-se ao esclarecimento diagnóstico ou decisão de conduta em caso de difícil solução - por profissional,Masculino,438,68206.4,155.72
10106073,Junta Médica (três ou mais profissionais) - destina-se ao esclarecimento diagnóstico ou decisão de conduta em caso de difícil solução - por profissional,Feminino,1084,142616.69,131.57
10106073,Junta Médica (três ou mais profissionais) - destina-se ao esclarecimento diagnóstico ou decisão de conduta em caso de difícil solução - por profissional,N. I.,15,2001.9,133.46
10106090,"Junta Médica - pagamento de honorários médicos referente a 3ª opinião, conforme resolução Consu nº 8",Masculino,585,203840.13,348.44
10106090,"Junta Médica - pagamento de honorários médicos referente a 3ª opinião, conforme resolução Consu nº 8",Feminino,819,213814.23,261.07
10106090,"Junta Médica - pagamento de honorários médicos referente a 3ª opinião, conforme resolução Consu nº 8",N. I.,17,1815.18,106.78
10106103,Perícia médica,Masculino,2544,474543.280000002,186.53
10106103,Perícia médica,Feminino,3611,656373.63,181.77
10106103,Perícia médica,N. I.,89,17317.36,194.58
10106146,Atendimento ambulatorial em puericultura,Masculino,10,1229.63,122.96
10106146,Atendimento ambulatorial em puericultura,Feminino,41,5841.6,142.48
10106146,Atendimento ambulatorial em puericultura,N. I.,1,80,80
20101015,Acompanhamento clínico ambulatorial pós-transplante renal - por avaliação,Masculino,27,5277.22,195.45
20101015,Acompanhamento clínico ambulatorial pós-transplante renal - por avaliação,Feminino,13,2542.78,195.6
20101015,Acompanhamento clínico ambulatorial pós-transplante renal - por avaliação,N. I.,0,0,0
20101023,Análise da proporcionalidade cineantropométrica,Masculino,1,80,80
20101023,Análise da proporcionalidade cineantropométrica,Feminino,0,0,0
20101023,Análise da proporcionalidade cineantropométrica,N. I.,0,0,0
20101074,Avaliação nutrológica (inclui consulta),Masculino,2870,738625.28,257.36
20101074,Avaliação nutrológica (inclui consulta),Feminino,2977,433308.649999999,145.55
20101074,Avaliação nutrológica (inclui consulta),N. I.,113,17575.09,155.53
20101082,Avaliação nutrológica pré e pós-cirurgia bariátrica (inclui consulta),Masculino,63,35776.92,567.89
20101082,Avaliação nutrológica pré e pós-cirurgia bariátrica (inclui consulta),Feminino,43,32463.55,754.97
20101082,Avaliação nutrológica pré e pós-cirurgia bariátrica (inclui consulta),N. I.,4,1296,324
20101090,Avaliação da composição corporal por antropometria (inclui consulta),Masculino,106,25062.32,236.44
20101090,Avaliação da composição corporal por antropometria (inclui consulta),Feminino,110,18651.84,169.56
20101090,Avaliação da composição corporal por antropometria (inclui consulta),N. I.,0,0,0
20101104,Avaliação da composição corporal por bioimpedanciometria,Masculino,151,24166.78,160.04
20101104,Avaliação da composição corporal por bioimpedanciometria,Feminino,214,39467.64,184.43
20101104,Avaliação da composição corporal por bioimpedanciometria,N. I.,15,2835,189
20101112,Avaliação da composição corporal por pesagem hidrostática,Masculino,1,10,10
20101112,Avaliação da composição corporal por pesagem hidrostática,Feminino,0,0,0
20101112,Avaliação da composição corporal por pesagem hidrostática,N. I.,0,0,0
20101171,Rejeição de enxerto renal - tratamento ambulatorial - avaliação clínica diária,Masculino,1,93.8,93.8
20101171,Rejeição de enxerto renal - tratamento ambulatorial - avaliação clínica diária,Feminino,0,0,0
20101171,Rejeição de enxerto renal - tratamento ambulatorial - avaliação clínica diária,N. I.,0,0,0
20101198,Teste e adaptação de lente de contato (sessão) - binocular,Masculino,2,877.74,438.87
20101198,Teste e adaptação de lente de contato (sessão) - binocular,Feminino,1,1316.61,1316.61
20101198,Teste e adaptação de lente de contato (sessão) - binocular,N. I.,0,0,0
20101201,"Avaliação clínica e eletrônica de paciente portador de dispositivo cardíaco eletrônico implantável (marca-passo, estimulador multissítio/ressincronizador, desfibrilador ou monitor de eventos)",Masculino,238,29832.33,125.35
20101201,"Avaliação clínica e eletrônica de paciente portador de dispositivo cardíaco eletrônico implantável (marca-passo, estimulador multissítio/ressincronizador, desfibrilador ou monitor de eventos)",Feminino,176,27746.32,157.65
20101201,"Avaliação clínica e eletrônica de paciente portador de dispositivo cardíaco eletrônico implantável (marca-passo, estimulador multissítio/ressincronizador, desfibrilador ou monitor de eventos)",N. I.,3,317.18,105.73
20101201,Avaliação clínica e eletrônica de paciente portador de marca-passo ou sincronizador ou desfibrilador,Masculino,238,29832.33,125.35
20101201,Avaliação clínica e eletrônica de paciente portador de marca-passo ou sincronizador ou desfibrilador,Feminino,176,27746.32,157.65
20101201,Avaliação clínica e eletrônica de paciente portador de marca-passo ou sincronizador ou desfibrilador,N. I.,3,317.18,105.73
20101228,Acompanhamento clínico ambulatorial pós-transplante de medula óssea,Masculino,13,12632.96,971.77
20101228,Acompanhamento clínico ambulatorial pós-transplante de medula óssea,Feminino,4,225137,56284.25
20101228,Acompanhamento clínico ambulatorial pós-transplante de medula óssea,N. I.,0,0,0
20101236,Avaliação geriátrica ampla - AGA,Masculino,0,0,0
20101236,Avaliação geriátrica ampla - AGA,Feminino,1,100,100
20101236,Avaliação geriátrica ampla - AGA,N. I.,0,0,0
20102011,Holter de 24 horas - 2 ou mais canais - analógico,Masculino,2777,1573380.9,566.58
20102011,Holter de 24 horas - 2 ou mais canais - analógico,Feminino,2646,375048.100000001,141.74
20102011,Holter de 24 horas - 2 ou mais canais - analógico,N. I.,53,7052.33,133.06
20102020,Holter de 24 horas - 3 canais - digital,Masculino,4578,2524764.39,551.5
20102020,Holter de 24 horas - 3 canais - digital,Feminino,4414,795929.85,180.32
20102020,Holter de 24 horas - 3 canais - digital,N. I.,76,11892.22,156.48
20102038,Monitorização ambulatorial da pressão arterial - MAPA (24 horas),Masculino,164,25352.26,154.59
20102038,Monitorização ambulatorial da pressão arterial - MAPA (24 horas),Feminino,200,32009.95,160.05
20102038,Monitorização ambulatorial da pressão arterial - MAPA (24 horas),N. I.,1,204.05,204.05
20102062,Monitor de eventos sintomáticos por 15 a 30 dias (LOOPER),Masculino,2,2046.24,1023.12
20102062,Monitor de eventos sintomáticos por 15 a 30 dias (LOOPER),Feminino,4,5127.49,1281.87
20102062,Monitor de eventos sintomáticos por 15 a 30 dias (LOOPER),N. I.,0,0,0
20102070,Tilt teste,Masculino,121,47184.06,389.95
20102070,Tilt teste,Feminino,112,50785.81,453.44
20102070,Tilt teste,N. I.,2,830.18,415.09
20102089,Sistema Holter - 12 horas - 1 canal,Masculino,2,1419,709.5
20102089,Sistema Holter - 12 horas - 1 canal,Feminino,0,0,0
20102089,Sistema Holter - 12 horas - 1 canal,N. I.,0,0,0
20102097,Sistema Holter - 12 horas - 2 ou mais canais,Masculino,3,253.2,84.4
20102097,Sistema Holter - 12 horas - 2 ou mais canais,Feminino,3,207.85,69.28
20102097,Sistema Holter - 12 horas - 2 ou mais canais,N. I.,1,60,60
20102100,Sistema Holter - 24 horas - 1 canal,Masculino,5,399.79,79.96
20102100,Sistema Holter - 24 horas - 1 canal,Feminino,0,0,0
20102100,Sistema Holter - 24 horas - 1 canal,N. I.,0,0,0
20102111,Monitorização eletrocardiográfica programada com transcrição - não contínua,Masculino,0,0,0
20102111,Monitorização eletrocardiográfica programada com transcrição - não contínua,Feminino,2,31.2,15.6
20102111,Monitorização eletrocardiográfica programada com transcrição - não contínua,N. I.,0,0,0
20102119,Monitorização eletrocardiográfica programada com transcrição - não contínua,Masculino,11,487.3,44.3
20102119,Monitorização eletrocardiográfica programada com transcrição - não contínua,Feminino,9,404.77,44.97
20102119,Monitorização eletrocardiográfica programada com transcrição - não contínua,N. I.,0,0,0
20102127,Holter 7 dias,Masculino,1,1218.05,1218.05
20102127,Holter 7 dias,Feminino,0,0,0
20102127,Holter 7 dias,N. I.,0,0,0
20103018,Adaptação e treinamento de recursos ópticos para visão subnormal (por sessão) - binocular,Masculino,0,0,0
20103018,Adaptação e treinamento de recursos ópticos para visão subnormal (por sessão) - binocular,Feminino,2,40,20
20103018,Adaptação e treinamento de recursos ópticos para visão subnormal (por sessão) - binocular,N. I.,0,0,0
20103026,Amputação bilateral (preparação do coto),Masculino,121,613.57,5.07
20103026,Amputação bilateral (preparação do coto),Feminino,43,231.83,5.39
20103026,Amputação bilateral (preparação do coto),N. I.,1,25.96,25.96
20103034,Amputação bilateral (treinamento protético),Masculino,1,0,0
20103034,Amputação bilateral (treinamento protético),Feminino,0,0,0
20103034,Amputação bilateral (treinamento protético),N. I.,0,0,0
20103042,Amputação unilateral (preparação do coto),Masculino,289,3132.54,10.84
20103042,Amputação unilateral (preparação do coto),Feminino,61,337.55,5.53
20103042,Amputação unilateral (preparação do coto),N. I.,0,0,0
20103050,Amputação unilateral (treinamento protético),Masculino,2,47.03,23.52
20103050,Amputação unilateral (treinamento protético),Feminino,10,168.94,16.89
20103050,Amputação unilateral (treinamento protético),N. I.,0,0,0
20103069,Assistência fisiátrica respiratória em pré e pós-operatório de condições cirúrgicas,Masculino,90729,1701163.38,18.75
20103069,Assistência fisiátrica respiratória em pré e pós-operatório de condições cirúrgicas,Feminino,104193,2127555.01000001,20.42
20103069,Assistência fisiátrica respiratória em pré e pós-operatório de condições cirúrgicas,N. I.,2082,35831.1,17.21
20103077,Ataxias,Masculino,26371,440227.069999999,16.69
20103077,Ataxias,Feminino,31878,530543.689999997,16.64
20103077,Ataxias,N. I.,745,9656.95999999999,12.96
20103093,Atendimento fisiátrico no pré e pós-operatório de pacientes para prevenção de sequelas,Masculino,809946,14815619.3000008,18.29
20103093,Atendimento fisiátrico no pré e pós-operatório de pacientes para prevenção de sequelas,Feminino,848115,13348009.370001,15.74
20103093,Atendimento fisiátrico no pré e pós-operatório de pacientes para prevenção de sequelas,N. I.,23077,239879.069999999,10.39
20103107,Atendimento fisiátrico no pré e pós-parto,Masculino,257,10959.39,42.64
20103107,Atendimento fisiátrico no pré e pós-parto,Feminino,1839,26633.8299999999,14.48
20103107,Atendimento fisiátrico no pré e pós-parto,N. I.,21,347.06,16.53
20103115,Atividade reflexa ou aplicação de técnica cinesioterápica específica,Masculino,9284,284549.050000001,30.65
20103115,Atividade reflexa ou aplicação de técnica cinesioterápica específica,Feminino,7460,227361.4,30.48
20103115,Atividade reflexa ou aplicação de técnica cinesioterápica específica,N. I.,82,4410.01,53.78
20103123,Atividades em escola de postura (máximo de 10 pessoas) - por sessão,Masculino,6,1385,230.83
20103123,Atividades em escola de postura (máximo de 10 pessoas) - por sessão,Feminino,9,5760,640
20103123,Atividades em escola de postura (máximo de 10 pessoas) - por sessão,N. I.,0,0,0
20103131,Biofeedback com EMG,Masculino,120,6932.25,57.77
20103131,Biofeedback com EMG,Feminino,11,551.61,50.15
20103131,Biofeedback com EMG,N. I.,0,0,0
20103140,"Bloqueio fenólico, alcoólico ou com toxina botulínica por segmento corporal",Masculino,3335,454875.999999999,136.39
20103140,"Bloqueio fenólico, alcoólico ou com toxina botulínica por segmento corporal",Feminino,2869,18433951.45,6425.22
20103140,"Bloqueio fenólico, alcoólico ou com toxina botulínica por segmento corporal",N. I.,86,12860.94,149.55
20103166,Confecção de prótese imediata,Masculino,0,0,0
20103166,Confecção de prótese imediata,Feminino,2,298.86,149.43
20103166,Confecção de prótese imediata,N. I.,0,0,0
20103174,Confecção de prótese provisória,Masculino,1,70,70
20103174,Confecção de prótese provisória,Feminino,6,943.36,157.23
20103174,Confecção de prótese provisória,N. I.,0,0,0
20103182,Desvios posturais da coluna vertebral,Masculino,7,64.17,9.17
20103182,Desvios posturais da coluna vertebral,Feminino,33,595.34,18.04
20103182,Desvios posturais da coluna vertebral,N. I.,0,0,0
20103190,Disfunção vésico-uretral,Masculino,465,7519.62,16.17
20103190,Disfunção vésico-uretral,Feminino,632,12921.18,20.44
20103190,Disfunção vésico-uretral,N. I.,1,10.62,10.62
20103204,Distrofia simpático-reflexa,Masculino,21,2070.03,98.57
20103204,Distrofia simpático-reflexa,Feminino,14,182.58,13.04
20103204,Distrofia simpático-reflexa,N. I.,0,0,0
20103212,Distúrbios circulatórios artério-venosos e linfáticos,Masculino,492180,8573207.34000017,17.42
20103212,Distúrbios circulatórios artério-venosos e linfáticos,Feminino,462532,9015856.39000012,19.49
20103212,Distúrbios circulatórios artério-venosos e linfáticos,N. I.,10268,158756.99,15.46
20103220,Doenças pulmonares atendidas em ambulatório,Masculino,1143,67517.06,59.07
20103220,Doenças pulmonares atendidas em ambulatório,Feminino,1045,49396.49,47.27
20103220,Doenças pulmonares atendidas em ambulatório,N. I.,20,1316.24,65.81
20103239,Exercícios de ortóptica (por sessão),Masculino,0,0,0
20103239,Exercícios de ortóptica (por sessão),Feminino,14,149.17,10.65
20103239,Exercícios de ortóptica (por sessão),N. I.,0,0,0
20103247,Exercícios para reabilitação do asmático (ERAC) - por sessão coletiva,Masculino,21,250.73,11.94
20103247,Exercícios para reabilitação do asmático (ERAC) - por sessão coletiva,Feminino,18,390.83,21.71
20103247,Exercícios para reabilitação do asmático (ERAC) - por sessão coletiva,N. I.,0,0,0
20103255,Exercícios para reabilitação do asmático (ERAI) - por sessão individual,Masculino,65,1416.66,21.79
20103255,Exercícios para reabilitação do asmático (ERAI) - por sessão individual,Feminino,73,1599.09,21.91
20103255,Exercícios para reabilitação do asmático (ERAI) - por sessão individual,N. I.,2,44.6,22.3
20103263,Hemiparesia,Masculino,34606,719483.3,20.79
20103263,Hemiparesia,Feminino,35802,735061.029999998,20.53
20103263,Hemiparesia,N. I.,1182,37613.43,31.82
20103271,Hemiplegia,Masculino,18739,246081.5,13.13
20103271,Hemiplegia,Feminino,20649,263574.009999999,12.76
20103271,Hemiplegia,N. I.,247,2607.47,10.56
20103280,Hemiplegia e hemiparesia com afasia,Masculino,35309,571359.809999998,16.18
20103280,Hemiplegia e hemiparesia com afasia,Feminino,46806,758186.859999994,16.2
20103280,Hemiplegia e hemiparesia com afasia,N. I.,876,11744.68,13.41
20103298,Hipo ou agenesia de membros,Masculino,493,10084.64,20.46
20103298,Hipo ou agenesia de membros,Feminino,636,14072.64,22.13
20103298,Hipo ou agenesia de membros,N. I.,0,0,0
20103301,Infiltração de ponto gatilho (por músculo) ou agulhamento seco (por músculo),Masculino,3954,8272370.84,2092.15
20103301,Infiltração de ponto gatilho (por músculo) ou agulhamento seco (por músculo),Feminino,8551,896301.849999999,104.82
20103301,Infiltração de ponto gatilho (por músculo) ou agulhamento seco (por músculo),N. I.,122,18268.18,149.74
20103310,Lesão nervosa periférica afetando mais de um nervo com alterações sensitivas e/ou motoras,Masculino,20026,328199.02,16.39
